General,number_of_battles,WAR,aWAR
Lucius Cornelius Scipio Asiaticus,1,0.9353739646483367,0.9353739646483367
Lucius Cornelius Scipio Barbatus,1,0.9452368062287739,0.9452368062287739
Lucius Domitius Ahenobarbus (consul 54 BC),1,-1.0509653614020382,-1.0509653614020382
Lucius Manlius Vulso Longus,1,0.904101801548884,0.904101801548884
Lucius Mummius Achaicus,1,0.9087710545828118,0.9087710545828118
Lucius Postumius Megellus (consul 262 BC),1,0.9389070856134607,0.9389070856134607
Lucullus,2,1.8793966013807497,0.9396983006903749
"Ludovico II, Marquess of Saluzzo",1,-1.0100688053253568,-1.0100688053253568
Ludwig Hahn,1,0.9509050710397869,0.9509050710397869
Ludwig Yorck von Wartenburg,1,-1.0437519722660933,-1.0437519722660933
Ludwig von Falkenhausen,1,-1.0365652470022004,-1.0365652470022004
Ludwig von Reuter,1,-0.044406163130865275,-0.044406163130865275
Ludwik Kicki,1,-0.04911622906148815,-0.04911622906148815
Lugius,1,-0.9819714066951237,-0.9819714066951237
Luigi Cadorna,6,1.6399623718036762,0.27332706196727935
Luigi Capello,2,1.9275855225552565,0.9637927612776283
Luigi Mascherpa,1,-1.052174338039563,-1.052174338039563
Luis Fery,1,-1.0485773056568073,-1.0485773056568073
"Luis Firmín de Carvajal, Conde de la Unión",2,-2.0842075050811992,-1.0421037525405996
Luis González de Ubieta,1,0.9505596993378252,0.9505596993378252
Luis Méndez de Haro,1,-1.0092882589705734,-1.0092882589705734
Luis Peralta,1,-1.043686182694428,-1.043686182694428
Luis Taruc,1,0.8629504382297016,0.8629504382297016
"Luis de Benavides Carrillo, Marquis of Caracena",1,-0.9653544574200843,-0.9653544574200843
"Luitpold, Margrave of Bavaria",1,-1.0674226350018525,-1.0674226350018525
"Luke Gardiner, 1st Viscount Mountjoy",1,0.9521994989056185,0.9521994989056185
Lumley Lyster,1,0.953168689402137,0.953168689402137
Luo Ronghuan,2,2.441159305989801,1.2205796529949005
Luo Ruiqing,1,0.9768854093053402,0.9768854093053402
Luo Zhuoying,1,0.9199179237675209,0.9199179237675209
Lupo II of Gascony,1,0.951566843330118,0.951566843330118
Luther Hare,1,-1.0484331566698821,-1.0484331566698821
"Luís Alves de Lima e Silva, Duke of Caxias",1,0.9577111031314025,0.9577111031314025
Luís Lopes de Sequeira,1,0.9560826757630034,0.9560826757630034
Luís do Rego Barreto,3,2.8662306983375787,0.9554102327791929
Lydia,2,-1.2667621394836552,-0.6333810697418276
Lysander,2,1.8786530447933312,0.9393265223966656
Lysias (Syrian chancellor),2,-1.9651360652549035,-0.9825680326274517
Lysicles (4th century BC),1,-1.0373564620791147,-1.0373564620791147
Lysimachus,2,2.117137785880247,1.0585688929401236
Léopold Philippe d'Arenberg,1,0.9401730297365233,0.9401730297365233
Lê Liêm,1,0.9719798758284725,0.9719798758284725
Lê Minh Đảo,1,-1.039730107309857,-1.039730107309857
Lê Quang Đạo,1,-0.03767294810988028,-0.03767294810988028
Lê Trọng Tấn,1,0.9719798758284725,0.9719798758284725
Lü Bu,1,-0.04526861284825619,-0.04526861284825619
Lü Meng,1,0.9389070856134607,0.9389070856134607
Lü Wenhuan,1,-1.0509653614020382,-1.0509653614020382
Lü Zhanmeng,1,-1.0803123077834271,-1.0803123077834271
M. A. G. Osmani,1,0.7379384560772649,0.7379384560772649
M. Jeff Thompson,2,-2.0947668282123724,-1.0473834141061862
Ma Chao,1,-1.0167848700793465,-1.0167848700793465
Ma Eung-bang,1,-1.0452686128482562,-1.0452686128482562
Ma Gui (general),1,-1.060459942325008,-1.060459942325008
Ma Su,1,-1.0405213223867713,-1.0405213223867713
Ma Zhanshan,1,-1.0990712380784189,-1.0990712380784189
Maarten Gerritsz Vries,1,-1.0484331566698821,-1.0484331566698821
Maarten Schenck van Nydeggen,1,-1.0563456239250544,-1.0563456239250544
Maarten Tromp,6,-1.2955175604135714,-0.21591959340226188
